metode,waktu,nilai
Online,Pagi,71
Online,Pagi,74
Online,Pagi,68
Online,Pagi,69
Online,Pagi,70
Online,Pagi,69
Online,Pagi,67
Online,Pagi,70
Online,Pagi,68
Online,Pagi,71
Online,Pagi,68
Online,Pagi,73
Online,Pagi,68
Online,Pagi,69
Online,Pagi,72
Online,Pagi,68
Online,Pagi,70
Online,Pagi,73
Online,Pagi,67
Online,Pagi,70
Online,Pagi,71
Online,Pagi,72
Online,Pagi,68
Online,Pagi,67
Online,Pagi,71
Online,Pagi,71
Online,Malam,73
Online,Malam,73
Online,Malam,70
Online,Malam,73
Online,Malam,73
Online,Malam,70
Online,Malam,77
Online,Malam,73
Online,Malam,69
Online,Malam,74
Online,Malam,70
Online,Malam,74
Online,Malam,75
Online,Malam,70
Online,Malam,74
Online,Malam,73
Online,Malam,74
Online,Malam,77
Online,Malam,71
Online,Malam,70
Online,Malam,70
Online,Malam,70
Online,Malam,72
Online,Malam,73
Online,Malam,73
Online,Malam,74
Online,Malam,72
Online,Malam,76
Online,Malam,71
Online,Malam,79
Online,Malam,74
Online,Malam,70
Online,Malam,69
Online,Malam,73
Online,Malam,71
Online,Malam,74
Online,Malam,73
Online,Malam,72
Online,Malam,70
Online,Malam,68
Online,Malam,71
Online,Malam,74
Online,Malam,73
Online,Malam,69
Online,Malam,72
Online,Malam,73
Online,Malam,70
Online,Malam,72
Online,Malam,72
Online,Malam,69
Online,Malam,73
Online,Malam,73
Online,Malam,75
Online,Malam,75
Online,Malam,69
Online,Malam,70
Online,Malam,73
Online,Malam,73
Online,Malam,73
Online,Malam,82
Online,Malam,73
Online,Malam,75
Online,Malam,74
Online,Malam,74
Online,Malam,71
Online,Malam,74
Online,Malam,70
Online,Malam,71
Online,Malam,71
Online,Malam,72
Online,Malam,78
Online,Malam,67
Online,Malam,74
Online,Malam,68
Online,Malam,71
Online,Malam,75
Online,Malam,72
Online,Malam,69
Online,Malam,70
Online,Malam,74
Online,Malam,70
Online,Malam,73
Online,Malam,72
Online,Malam,70
Online,Malam,77
Online,Malam,74
Online,Malam,67
Online,Malam,72
Online,Malam,70
Online,Malam,74
Online,Malam,70
Online,Malam,72
Online,Malam,73
Online,Malam,74
Online,Malam,69
Online,Malam,71
Online,Malam,71
Online,Malam,70
Online,Malam,76
Online,Malam,73
Online,Malam,69
Online,Malam,74
Online,Malam,77
Online,Malam,75
Online,Malam,68
Online,Malam,71
Online,Malam,75
Online,Malam,70
Online,Malam,73
Online,Malam,74
Online,Malam,70
Online,Malam,72
Online,Malam,64
Online,Malam,69
Online,Malam,71
Online,Malam,69
Online,Malam,76
Online,Malam,68
Online,Malam,71
Online,Malam,72
Online,Malam,76
Online,Malam,68
Online,Malam,75
Online,Malam,72
Online,Malam,70
Online,Malam,73
Online,Malam,72
Online,Malam,70
Online,Malam,72
Online,Malam,71
Online,Malam,72
Online,Malam,74
Online,Malam,76
Online,Malam,69
Online,Malam,77
Online,Malam,67
Online,Malam,72
Online,Malam,73
Online,Malam,73
Online,Malam,70
Online,Malam,71
Online,Malam,71
Online,Malam,71
Online,Malam,74
Online,Malam,73
Online,Malam,70
Online,Malam,74
Online,Malam,73
Online,Malam,74
Online,Malam,74
Tatap Muka,Pagi,85
Tatap Muka,Pagi,85
Tatap Muka,Pagi,87
Tatap Muka,Pagi,87
Tatap Muka,Pagi,86
Tatap Muka,Pagi,86
Tatap Muka,Pagi,88
Tatap Muka,Pagi,85
Tatap Muka,Pagi,87
Tatap Muka,Pagi,86
Tatap Muka,Pagi,86
Tatap Muka,Pagi,88
Tatap Muka,Pagi,87
Tatap Muka,Pagi,87
Tatap Muka,Pagi,88
Tatap Muka,Pagi,86
Tatap Muka,Pagi,87
Tatap Muka,Pagi,86
Tatap Muka,Pagi,86
Tatap Muka,Pagi,86
Tatap Muka,Pagi,86
Tatap Muka,Pagi,87
Tatap Muka,Pagi,85
Tatap Muka,Pagi,89
Tatap Muka,Pagi,84
Tatap Muka,Pagi,84
Tatap Muka,Pagi,88
Tatap Muka,Pagi,87
Tatap Muka,Pagi,87
Tatap Muka,Pagi,87
Tatap Muka,Pagi,86
Tatap Muka,Pagi,85
Tatap Muka,Pagi,86
Tatap Muka,Pagi,85
Tatap Muka,Pagi,87
Tatap Muka,Pagi,86
Tatap Muka,Pagi,85
Tatap Muka,Pagi,86
Tatap Muka,Pagi,87
Tatap Muka,Pagi,85
Tatap Muka,Pagi,85
Tatap Muka,Pagi,86
Tatap Muka,Pagi,86
Tatap Muka,Pagi,85
Tatap Muka,Pagi,85
Tatap Muka,Pagi,86
Tatap Muka,Pagi,84
Tatap Muka,Pagi,84
Tatap Muka,Pagi,85
Tatap Muka,Pagi,86
Tatap Muka,Pagi,86
Tatap Muka,Pagi,88
Tatap Muka,Pagi,87
Tatap Muka,Pagi,86
Tatap Muka,Pagi,86
Tatap Muka,Pagi,84
Tatap Muka,Pagi,86
Tatap Muka,Pagi,86
Tatap Muka,Pagi,86
Tatap Muka,Pagi,85
Tatap Muka,Pagi,87
Tatap Muka,Pagi,88
Tatap Muka,Pagi,86
Tatap Muka,Pagi,87
Tatap Muka,Pagi,87
Tatap Muka,Pagi,85
Tatap Muka,Pagi,86
Tatap Muka,Pagi,86
Tatap Muka,Pagi,86
Tatap Muka,Pagi,85
Tatap Muka,Pagi,86
Tatap Muka,Pagi,87
Tatap Muka,Pagi,88
Tatap Muka,Pagi,87
Tatap Muka,Pagi,89
Tatap Muka,Pagi,85
Tatap Muka,Pagi,87
Tatap Muka,Pagi,86
Tatap Muka,Pagi,89
Tatap Muka,Pagi,85
Tatap Muka,Pagi,85
Tatap Muka,Pagi,85
Tatap Muka,Pagi,83
Tatap Muka,Pagi,85
Tatap Muka,Pagi,85
Tatap Muka,Pagi,86
Tatap Muka,Pagi,87
Tatap Muka,Pagi,89
Tatap Muka,Pagi,87
Tatap Muka,Pagi,85
Tatap Muka,Pagi,85
Tatap Muka,Pagi,87
Tatap Muka,Pagi,84
Tatap Muka,Pagi,89
Tatap Muka,Pagi,88
Tatap Muka,Pagi,85
Tatap Muka,Pagi,83
Tatap Muka,Pagi,88
Tatap Muka,Pagi,86
Tatap Muka,Pagi,88
Tatap Muka,Pagi,84
Tatap Muka,Pagi,85
Tatap Muka,Pagi,86
Tatap Muka,Pagi,86
Tatap Muka,Pagi,85
Tatap Muka,Pagi,87
Tatap Muka,Pagi,84
Tatap Muka,Pagi,86
Tatap Muka,Pagi,86
Tatap Muka,Pagi,87
Tatap Muka,Pagi,87
Tatap Muka,Pagi,84
Tatap Muka,Pagi,84
Tatap Muka,Pagi,88
Tatap Muka,Pagi,86
Tatap Muka,Pagi,85
Tatap Muka,Pagi,88
Tatap Muka,Pagi,86
Tatap Muka,Pagi,88
Tatap Muka,Pagi,86
Tatap Muka,Pagi,89
Tatap Muka,Pagi,89
Tatap Muka,Pagi,86
Tatap Muka,Pagi,87
Tatap Muka,Pagi,87
Tatap Muka,Pagi,88
Tatap Muka,Pagi,85
Tatap Muka,Pagi,87
Tatap Muka,Pagi,88
Tatap Muka,Pagi,83
Tatap Muka,Pagi,84
Tatap Muka,Pagi,83
Tatap Muka,Pagi,86
Tatap Muka,Pagi,87
Tatap Muka,Pagi,88
Tatap Muka,Pagi,86
Tatap Muka,Pagi,88
Tatap Muka,Pagi,84
Tatap Muka,Pagi,83
Tatap Muka,Pagi,86
Tatap Muka,Pagi,87
Tatap Muka,Pagi,86
Tatap Muka,Pagi,83
Tatap Muka,Pagi,86
Tatap Muka,Pagi,84
Tatap Muka,Pagi,87
Tatap Muka,Pagi,87
Tatap Muka,Pagi,85
Tatap Muka,Pagi,85
Tatap Muka,Pagi,84
Tatap Muka,Malam,84
Tatap Muka,Malam,86
Tatap Muka,Malam,82
Tatap Muka,Malam,85
Tatap Muka,Malam,83
Tatap Muka,Malam,83
Tatap Muka,Malam,84
Tatap Muka,Malam,82
Tatap Muka,Malam,83
Tatap Muka,Malam,82
Tatap Muka,Malam,88
Tatap Muka,Malam,84
Tatap Muka,Malam,83
Tatap Muka,Malam,84
Tatap Muka,Malam,84
Tatap Muka,Malam,84
Tatap Muka,Malam,85
Tatap Muka,Malam,85
Tatap Muka,Malam,83
Tatap Muka,Malam,83
Tatap Muka,Malam,84
Tatap Muka,Malam,80
Tatap Muka,Malam,81
Tatap Muka,Malam,86
Tatap Muka,Malam,87
Tatap Muka,Malam,84
Tatap Muka,Malam,85
Tatap Muka,Malam,85
Tatap Muka,Malam,90
Tatap Muka,Malam,86
Tatap Muka,Malam,84
Tatap Muka,Malam,82
Tatap Muka,Malam,81
Tatap Muka,Malam,84
Tatap Muka,Malam,83
Tatap Muka,Malam,81
Tatap Muka,Malam,83
Tatap Muka,Malam,82
Tatap Muka,Malam,87
Tatap Muka,Malam,86
Tatap Muka,Malam,84
Tatap Muka,Malam,87
Tatap Muka,Malam,84
Tatap Muka,Malam,82
Tatap Muka,Malam,87
Tatap Muka,Malam,85
Tatap Muka,Malam,82
Tatap Muka,Malam,84
Tatap Muka,Malam,82
Tatap Muka,Malam,82
Tatap Muka,Malam,86
Tatap Muka,Malam,87
Tatap Muka,Malam,81
Tatap Muka,Malam,85
Tatap Muka,Malam,83
Tatap Muka,Malam,83
Tatap Muka,Malam,83
Tatap Muka,Malam,82
Tatap Muka,Malam,84
Tatap Muka,Malam,83
Tatap Muka,Malam,84
Tatap Muka,Malam,84
Tatap Muka,Malam,84
Tatap Muka,Malam,82
Tatap Muka,Malam,83
Tatap Muka,Malam,85
Tatap Muka,Malam,85
Tatap Muka,Malam,82
Tatap Muka,Malam,84
Tatap Muka,Malam,85
Tatap Muka,Malam,81
Tatap Muka,Malam,85
Tatap Muka,Malam,83
Tatap Muka,Malam,85
Tatap Muka,Malam,83
Tatap Muka,Malam,81
Tatap Muka,Malam,81
Tatap Muka,Malam,84
Tatap Muka,Malam,84
Tatap Muka,Malam,82
Tatap Muka,Malam,85
Tatap Muka,Malam,81
Tatap Muka,Malam,84
Tatap Muka,Malam,82
Tatap Muka,Malam,83
Tatap Muka,Malam,84
Tatap Muka,Malam,82
Tatap Muka,Malam,83
Tatap Muka,Malam,86
Tatap Muka,Malam,83
Tatap Muka,Malam,86
Tatap Muka,Malam,82
Tatap Muka,Malam,85
Tatap Muka,Malam,87
Tatap Muka,Malam,80
Tatap Muka,Malam,83
Tatap Muka,Malam,85
Tatap Muka,Malam,84
Tatap Muka,Malam,85
Tatap Muka,Malam,83
Tatap Muka,Malam,84
Tatap Muka,Malam,84
Tatap Muka,Malam,86
Tatap Muka,Malam,84
Tatap Muka,Malam,85
Tatap Muka,Malam,83
Tatap Muka,Malam,83
Tatap Muka,Malam,83
Tatap Muka,Malam,85
Tatap Muka,Malam,83
Tatap Muka,Malam,85
Tatap Muka,Malam,88
Tatap Muka,Malam,86
Tatap Muka,Malam,83
Tatap Muka,Malam,86
Tatap Muka,Malam,83
Tatap Muka,Malam,80
Tatap Muka,Malam,82
Tatap Muka,Malam,81
Tatap Muka,Malam,83
Tatap Muka,Malam,84
Tatap Muka,Malam,87
Tatap Muka,Malam,85
Tatap Muka,Malam,84
Tatap Muka,Malam,85
Tatap Muka,Malam,80
Tatap Muka,Malam,84
Tatap Muka,Malam,85
Tatap Muka,Malam,81
Tatap Muka,Malam,86
Tatap Muka,Malam,85
Tatap Muka,Malam,83
Tatap Muka,Malam,85
Tatap Muka,Malam,88
Tatap Muka,Malam,84
Tatap Muka,Malam,84
Tatap Muka,Malam,83
Tatap Muka,Malam,82
Tatap Muka,Malam,85
Tatap Muka,Malam,82
Tatap Muka,Malam,84
Tatap Muka,Malam,83
Tatap Muka,Malam,85
Tatap Muka,Malam,85
Tatap Muka,Malam,86
Tatap Muka,Malam,83
Tatap Muka,Malam,84
Tatap Muka,Malam,82
Tatap Muka,Malam,83
Tatap Muka,Malam,85
Mandiri,Pagi,66
Mandiri,Pagi,64
Mandiri,Pagi,66
Mandiri,Pagi,67
Mandiri,Pagi,66
Mandiri,Pagi,68
Mandiri,Pagi,64
Mandiri,Pagi,63
Mandiri,Pagi,62
Mandiri,Pagi,67
Mandiri,Pagi,66
Mandiri,Pagi,65
Mandiri,Pagi,65
Mandiri,Pagi,63
Mandiri,Pagi,69
Mandiri,Pagi,65
Mandiri,Pagi,65
Mandiri,Pagi,66
Mandiri,Pagi,66
Mandiri,Pagi,65
Mandiri,Pagi,64
Mandiri,Pagi,66
Mandiri,Pagi,68
Mandiri,Pagi,67
Mandiri,Pagi,67
Mandiri,Pagi,64
Mandiri,Pagi,64
Mandiri,Pagi,65
Mandiri,Pagi,65
Mandiri,Pagi,67
Mandiri,Pagi,62
Mandiri,Pagi,67
Mandiri,Pagi,65
Mandiri,Pagi,64
Mandiri,Pagi,63
Mandiri,Pagi,63
Mandiri,Pagi,66
Mandiri,Pagi,65
Mandiri,Pagi,63
Mandiri,Pagi,63
Mandiri,Pagi,64
Mandiri,Pagi,68
Mandiri,Pagi,65
Mandiri,Pagi,63
Mandiri,Pagi,65
Mandiri,Pagi,65
Mandiri,Pagi,61
Mandiri,Pagi,65
Mandiri,Pagi,65
Mandiri,Pagi,66
Mandiri,Pagi,68
Mandiri,Pagi,67
Mandiri,Pagi,65
Mandiri,Pagi,63
Mandiri,Pagi,69
Mandiri,Pagi,65
Mandiri,Pagi,65
Mandiri,Pagi,65
Mandiri,Pagi,65
Mandiri,Pagi,65
Mandiri,Pagi,64
Mandiri,Pagi,64
Mandiri,Pagi,65
Mandiri,Pagi,64
Mandiri,Pagi,64
Mandiri,Pagi,65
Mandiri,Pagi,65
Mandiri,Pagi,67
Mandiri,Pagi,61
Mandiri,Pagi,67
Mandiri,Pagi,67
Mandiri,Pagi,62
Mandiri,Pagi,64
Mandiri,Pagi,64
Mandiri,Pagi,63
Mandiri,Pagi,64
Mandiri,Pagi,63
Mandiri,Pagi,68
Mandiri,Pagi,66
Mandiri,Pagi,67
Mandiri,Pagi,66
Mandiri,Pagi,63
Mandiri,Pagi,64
Mandiri,Pagi,66
Mandiri,Pagi,63
Mandiri,Pagi,66
Mandiri,Pagi,65
Mandiri,Pagi,64
Mandiri,Pagi,66
Mandiri,Pagi,66
Mandiri,Pagi,64
Mandiri,Pagi,67
Mandiri,Pagi,63
Mandiri,Pagi,66
Mandiri,Pagi,66
Mandiri,Pagi,65
Mandiri,Pagi,65
Mandiri,Pagi,63
Mandiri,Pagi,66
Mandiri,Pagi,65
Mandiri,Pagi,64
Mandiri,Pagi,67
Mandiri,Pagi,64
Mandiri,Pagi,63
Mandiri,Pagi,63
Mandiri,Pagi,66
Mandiri,Pagi,63
Mandiri,Pagi,68
Mandiri,Pagi,62
Mandiri,Pagi,68
Mandiri,Pagi,65
Mandiri,Pagi,65
Mandiri,Pagi,64
Mandiri,Pagi,66
Mandiri,Pagi,65
Mandiri,Pagi,67
Mandiri,Pagi,65
Mandiri,Pagi,65
Mandiri,Pagi,64
Mandiri,Pagi,65
Mandiri,Pagi,65
Mandiri,Pagi,62
Mandiri,Pagi,63
Mandiri,Pagi,66
Mandiri,Pagi,65
Mandiri,Pagi,65
Mandiri,Pagi,65
Mandiri,Pagi,66
Mandiri,Pagi,64
Mandiri,Pagi,64
Mandiri,Pagi,65
Mandiri,Pagi,64
Mandiri,Pagi,66
Mandiri,Pagi,62
Mandiri,Pagi,67
Mandiri,Pagi,66
Mandiri,Pagi,65
Mandiri,Pagi,66
Mandiri,Pagi,67
Mandiri,Pagi,67
Mandiri,Pagi,62
Mandiri,Pagi,63
Mandiri,Pagi,64
Mandiri,Pagi,65
Mandiri,Pagi,66
Mandiri,Pagi,64
Mandiri,Pagi,65
Mandiri,Pagi,64
Mandiri,Pagi,64
Mandiri,Pagi,63
Mandiri,Malam,61
Mandiri,Malam,61
Mandiri,Malam,61
Mandiri,Malam,65
Mandiri,Malam,61
Mandiri,Malam,67
Mandiri,Malam,64
Mandiri,Malam,63
Mandiri,Malam,62
Mandiri,Malam,64
Mandiri,Malam,62
Mandiri,Malam,63
Mandiri,Malam,67
Mandiri,Malam,63
Mandiri,Malam,65
Mandiri,Malam,62
Mandiri,Malam,63
Mandiri,Malam,66
Mandiri,Malam,62
Mandiri,Malam,66
Mandiri,Malam,64
Mandiri,Malam,62
Mandiri,Malam,64
Mandiri,Malam,65
Mandiri,Malam,64
Mandiri,Malam,60
Mandiri,Malam,62
Mandiri,Malam,63
Mandiri,Malam,63
Mandiri,Malam,64
Mandiri,Malam,63
Mandiri,Malam,61
Mandiri,Malam,64
Mandiri,Malam,64
Mandiri,Malam,64
Mandiri,Malam,65
Mandiri,Malam,64
Mandiri,Malam,64
Mandiri,Malam,63
Mandiri,Malam,60
Mandiri,Malam,64
Mandiri,Malam,63
Mandiri,Malam,63
Mandiri,Malam,61
Mandiri,Malam,61
Mandiri,Malam,65
Mandiri,Malam,63
Mandiri,Malam,64
Mandiri,Malam,63
Mandiri,Malam,63
Mandiri,Malam,65
Mandiri,Malam,62
Mandiri,Malam,63
Mandiri,Malam,62
Mandiri,Malam,62
Mandiri,Malam,62
Mandiri,Malam,63
Mandiri,Malam,62
Mandiri,Malam,65
Mandiri,Malam,61
Mandiri,Malam,63
Mandiri,Malam,62
Mandiri,Malam,65
Mandiri,Malam,63
Mandiri,Malam,65
Mandiri,Malam,60
Mandiri,Malam,63
Mandiri,Malam,65
Mandiri,Malam,63
Mandiri,Malam,65
Mandiri,Malam,62
Mandiri,Malam,65
Mandiri,Malam,67
Mandiri,Malam,62
Mandiri,Malam,62
Mandiri,Malam,65
Mandiri,Malam,66
Mandiri,Malam,62
Mandiri,Malam,62
Mandiri,Malam,63
Mandiri,Malam,61
Mandiri,Malam,61
Mandiri,Malam,61
Mandiri,Malam,62
Mandiri,Malam,63
Mandiri,Malam,63
Mandiri,Malam,66
Mandiri,Malam,61
Mandiri,Malam,65
Mandiri,Malam,63
Mandiri,Malam,63
Mandiri,Malam,64
Mandiri,Malam,61
Mandiri,Malam,64
Mandiri,Malam,63
Mandiri,Malam,64
Mandiri,Malam,63
Mandiri,Malam,67
Mandiri,Malam,62
Mandiri,Malam,62
Mandiri,Malam,62
Mandiri,Malam,62
Mandiri,Malam,62
Mandiri,Malam,65
Mandiri,Malam,65
Mandiri,Malam,62
Mandiri,Malam,62
Mandiri,Malam,64
Mandiri,Malam,62
Mandiri,Malam,64
Mandiri,Malam,63
Mandiri,Malam,60
Mandiri,Malam,66
Mandiri,Malam,66
Mandiri,Malam,62
Mandiri,Malam,62
Mandiri,Malam,63
Mandiri,Malam,64
Mandiri,Malam,64
Mandiri,Malam,66
Mandiri,Malam,63
Mandiri,Malam,62
Mandiri,Malam,61
Mandiri,Malam,62
Mandiri,Malam,63
Mandiri,Malam,66
Mandiri,Malam,62
Mandiri,Malam,63
Mandiri,Malam,63
Mandiri,Malam,65
Mandiri,Malam,67
Mandiri,Malam,62
Mandiri,Malam,62
Mandiri,Malam,65
Mandiri,Malam,64
Mandiri,Malam,66
Mandiri,Malam,64
Mandiri,Malam,62
Mandiri,Malam,64
Mandiri,Malam,65
Mandiri,Malam,64
Mandiri,Malam,64
Mandiri,Malam,65
Mandiri,Malam,65
Mandiri,Malam,65
Mandiri,Malam,64
Mandiri,Malam,63
Mandiri,Malam,63
Mandiri,Malam,65
Mandiri,Malam,62
